epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
63,35814.6,0.77732,0.45983,0.90046,0.92869,0.91876,0.93808,0.67817,0.82384,0.41172,0.92265,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,36378.9,0.77257,0.45769,0.90034,0.92905,0.91844,0.93823,0.67922,0.82217,0.41241,0.92228,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,36942.7,0.76791,0.45351,0.89858,0.92964,0.91834,0.93861,0.68015,0.82014,0.41125,0.92189,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,37507.5,0.75969,0.4491,0.89736,0.93171,0.91577,0.93934,0.67991,0.81922,0.41162,0.92136,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,38072.3,0.75886,0.44825,0.89608,0.93214,0.91615,0.93994,0.68074,0.81694,0.41092,0.92074,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,38637.3,0.74696,0.44395,0.89419,0.93705,0.91329,0.9403,0.68134,0.81552,0.41042,0.92022,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,39201.2,0.74218,0.43668,0.88988,0.93487,0.91398,0.93999,0.68134,0.81419,0.40929,0.91967,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,39766,0.73367,0.43388,0.88872,0.93509,0.91322,0.94049,0.68203,0.8122,0.40964,0.91943,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,40330.7,0.72972,0.43127,0.88857,0.93594,0.91318,0.94035,0.68222,0.81134,0.40871,0.91915,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,40895.2,0.71917,0.42669,0.88441,0.93575,0.91336,0.94058,0.68282,0.80972,0.40829,0.91879,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,41460.3,0.71795,0.42406,0.88369,0.9325,0.91631,0.94032,0.68403,0.80851,0.40623,0.9184,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,42024.7,0.71147,0.41927,0.88176,0.932,0.91669,0.94033,0.68504,0.80621,0.40403,0.91779,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,42589.6,0.70286,0.41756,0.88162,0.9316,0.91724,0.9422,0.68614,0.80479,0.40269,0.91708,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,43153.5,0.69577,0.41323,0.87954,0.9315,0.9193,0.94199,0.68711,0.80327,0.40191,0.91681,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,43726,0.69179,0.41113,0.87828,0.93028,0.91779,0.94168,0.68785,0.80238,0.40107,0.91638,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,44308,0.68319,0.40567,0.87519,0.93113,0.91826,0.942,0.68869,0.80063,0.40062,0.91595,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,44889.2,0.67935,0.40207,0.87524,0.93285,0.919,0.94244,0.6893,0.79921,0.40001,0.91531,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,45471.2,0.67419,0.3988,0.87259,0.93327,0.92082,0.9427,0.68958,0.79827,0.39932,0.9154,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,46053.4,0.66674,0.39425,0.87151,0.9338,0.92038,0.94356,0.69115,0.79641,0.39839,0.91529,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,46634.5,0.66089,0.39078,0.86966,0.93408,0.92025,0.94361,0.69139,0.79524,0.39715,0.91563,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,47216.7,0.65367,0.3873,0.86844,0.9328,0.91975,0.94233,0.69147,0.79377,0.39649,0.9154,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,47798.2,0.64942,0.38559,0.86854,0.93199,0.91823,0.94174,0.69236,0.79261,0.3957,0.91537,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,48379.3,0.64597,0.38313,0.86613,0.93206,0.91728,0.94168,0.69287,0.79151,0.39549,0.91541,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,48962,0.63836,0.37934,0.86412,0.93454,0.91706,0.9417,0.69346,0.79035,0.39478,0.91545,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,49543.1,0.63104,0.37569,0.86357,0.9335,0.91721,0.94153,0.69415,0.78871,0.39371,0.91508,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,50124.6,0.62913,0.37291,0.86354,0.9348,0.91729,0.94155,0.69565,0.78719,0.39326,0.91494,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,50706.2,0.61641,0.36683,0.86041,0.93537,0.91638,0.94125,0.69594,0.78612,0.39198,0.91477,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,51288,0.61326,0.36571,0.85963,0.93655,0.91689,0.94122,0.69656,0.78434,0.39145,0.91455,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,51893.9,0.57272,0.31975,0.83832,0.93721,0.918,0.94218,0.69767,0.78327,0.39069,0.9144,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,52472.7,0.55853,0.31272,0.83617,0.93725,0.91804,0.94246,0.69811,0.78167,0.39066,0.91409,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,53052,0.54689,0.30687,0.83369,0.93836,0.91913,0.94308,0.69945,0.77998,0.38992,0.91353,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,53631.7,0.5366,0.30218,0.83008,0.93816,0.91855,0.94307,0.70094,0.77762,0.38893,0.91283,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,54210.7,0.53287,0.29911,0.82996,0.93768,0.91768,0.94353,0.70188,0.77616,0.3886,0.91254,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,54791.6,0.51997,0.29335,0.82654,0.93759,0.91706,0.94298,0.70281,0.77372,0.38822,0.91214,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,55371.5,0.51077,0.28875,0.82345,0.93779,0.91695,0.9435,0.70291,0.77202,0.38821,0.91183,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,55965.4,0.5076,0.28848,0.82384,0.93842,0.9181,0.94354,0.70436,0.77004,0.38813,0.91141,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,56606.4,0.49917,0.28454,0.82155,0.93731,0.9181,0.94363,0.70488,0.76839,0.38757,0.91126,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,57262.5,0.49427,0.2806,0.82152,0.93841,0.9181,0.94365,0.70549,0.76681,0.38707,0.9111,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
